,Title,Genres,Poster_Path,Language,Release_Date,Popularity,ID,Action,Science Fiction,Adventure,Thriller,Animation,Drama,History,War,Romance,TV Movie,Documentary,Comedy,Horror,Crime,Music,Family,Fantasy,Mystery,Western,dominant_color,faces
0,"""40 Days and Nights""",Action Science Fiction Adventure Thriller,posters/movie0.png,en,2012-12-15,7.377999999999999,145738,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(233, 228, 201)",1
1,"""Frustration""",Animation,posters/movie1.png,en,2015-03-16,0.6,542615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(30, 50, 82)",0
2,"""Tolkien""",Drama History War Romance,posters/movie2.png,en,2019-05-03,23.83,468224,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"(220, 170, 102)",4
3,"""Save Sandra""",Drama,posters/movie3.png,en,2020-10-28,1.172,682270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(226, 196, 198)",1
4,"""Nazi Titanic""",TV Movie Documentary,posters/movie4.png,en,2012-04-14,4.412,463397,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"(73, 73, 78)",0
5,"""Marry Me For Christmas""",Romance Comedy TV Movie,posters/movie5.png,en,2013-12-14,3.089,249156,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"(128, 62, 46)",4
6,"""Lots of Ice and a Little Bit of Water""",Comedy,posters/movie6.png,en,2006-06-10,1.645,88053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(231, 210, 194)",1
7,"""New York Shadows""",Horror,posters/movie7.png,en,2013-06-14,0.748,197858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(154, 151, 162)",0
8,"""Our Life in Make Believe""",Drama Comedy Romance,posters/movie8.png,en,2014-08-29,0.8590000000000001,445046,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"(44, 45, 37)",0
9,"""¡Folk! Una mirada a la música tradicional de Castilla y León""",Documentary,posters/movie9.png,en,2018-03-01,0.6,661013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(143, 138, 140)",0
10,"""The Informant!""",Drama Comedy Crime,posters/movie10.png,en,2009-09-18,10.445,11323,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,"(242, 144, 60)",1
