Title,Genres,Poster_Path,Language,Release_Date,Popularity,ID
"""Nine to Fire""",Animation Comedy,posters/movie0.png,en,2011-06-20,0.6,560099
"""The Hellion""",Thriller Horror Drama,posters/movie1.png,en,2014-10-30,0.84,459999
"""So Pretty""",Drama,posters/movie2.png,en,2019-02-10,4.168,576105
"""The Fifth Estate""",Drama Thriller,posters/movie3.png,en,2013-10-11,10.44,162903
"""Last Girl Standing""",Drama Horror,posters/movie4.png,en,2015-08-31,5.012,347848
"""Oka!""",Drama,posters/movie5.png,en,2011-10-14,2.072,75469
"""Crossfire Hurricane""",Documentary Music,posters/movie6.png,en,2012-10-18,8.299,137285
"""Aerosmith: Rock for the Rising Sun""",Music,posters/movie7.png,en,2013-07-03,1.275,209999
"""Agony""",Music Drama,posters/movie8.png,en,2016-10-30,0.6,470851
"""Hull's Headscarf Heroes""",Documentary,posters/movie9.png,en,2018-02-05,0.6,546349
"""Unleashing the Demons""",Comedy Horror Thriller,posters/movie10.png,en,2019-07-14,1.96,615242
"""Going Places Documentary""",Music Documentary,posters/movie11.png,en,2017-11-01,0.6,678297
"""Fish - Gone Fishing Leamington Spa 2012""",Music,posters/movie12.png,en,2013-04-13,0.6,662090
"""The Paperboy""",Family Animation,posters/movie13.png,en,2000-01-01,0.6,605594
"""Night Shift""",Drama,posters/movie14.png,en,2017-01-20,1.352,460193
"""Girlfriend Killer""",Thriller TV Movie,posters/movie15.png,en,2017-06-01,2.915,466854
"""Jimmy Page and Robert Plant: Live at Irvine Meadows""",Music Music,posters/movie16.png,en,2012-11-06,0.6,107848
"""Remembrance""",Drama,posters/movie17.png,en,2008-11-29,0.626,287665
"""Nocturna""",Animation,posters/movie18.png,en,2007-09-06,3.898,26700
"""Happiness Runs""",Drama,posters/movie19.png,en,2010-05-14,2.592,42478
"""Hide and Seek""",Adventure Comedy Fantasy,posters/movie20.png,en,2019-05-17,0.6,708205
"""Emelie""",Horror Thriller,posters/movie21.png,en,2016-03-04,10.15,329010
"""Bob the Builder: Construction Heroes""",Animation Family,posters/movie22.png,en,2016-05-03,0.6,396405
"""Superman Returns""",Science Fiction Action Adventure,posters/movie23.png,en,2006-06-28,20.775,1452
"""Kiss My Ass: Classic Kiss Regrooved""",Music,posters/movie24.png,en,2003-11-01,3.973,382106
"""Open House""",Drama Horror Thriller,posters/movie25.png,en,2010-08-03,4.852,39959
"""Kim Kardashian West: The Justice Project""",Documentary,posters/movie26.png,en,2020-04-05,6.716,692007
"""A Kiss of The Bridge""",Fantasy Music,posters/movie27.png,en,2017-08-20,0.6,472264
"""National Theatre Live: The Habit of Art""",Drama Comedy,posters/movie28.png,en,2010-04-22,2.009,258696
"""Clawed: The Legend of Sasquatch""",Horror Thriller Action,posters/movie29.png,en,2005-04-14,4.676,55449
"""Lili""",Animation Drama,posters/movie30.png,en,2016-01-01,1.178,561103
"""House of Stronzo""",Documentary,posters/movie31.png,en,2018-02-23,0.6,745077
"""D-love""",Drama,posters/movie32.png,en,2017-12-08,0.976,490929
"""Days and Nights""",Drama Comedy,posters/movie33.png,en,2014-09-26,6.05,241432
"""Judith Lucy: Judith Lucy Vs Men""",Comedy,posters/movie34.png,en,2020-04-24,2.348,691902
"""Samson""",Action Drama Adventure,posters/movie35.png,en,2018-02-16,28.151,474392
"""Thr3e""",Drama Horror Thriller,posters/movie36.png,en,2006-12-01,7.474,13569
"""Michael McIntyre's Very Christmassy Christmas Show""",Comedy,posters/movie37.png,en,2014-12-25,1.906,318367
"""A New Color: The Art of Being Edythe Boone""",Documentary,posters/movie38.png,en,2015-10-10,0.6,572139
"""When Billie Beat Bobby""",Comedy Drama,posters/movie39.png,en,2001-04-16,6.249,85475
"""Show Dogs""",Adventure Crime Family Comedy,posters/movie40.png,en,2018-05-10,20.077,425148
"""The Neal Morse Band: The Great Adventour - Live in BRNO 2019""",Music,posters/movie41.png,en,2020-03-06,2.508,681666
"""Alex & the List""",Romance Comedy,posters/movie42.png,en,2018-05-04,9.338,333676
"""Malam Penuh Bermisteri""",Horror,posters/movie43.png,en,2013-11-07,0.6,246023
"""The Wrong Neighbor""",TV Movie Drama Thriller,posters/movie44.png,en,2017-06-26,4.252,460989
"""Pig Death Machine""",Horror,posters/movie45.png,en,2013-03-08,0.6,309921
"""Grief""",Drama Thriller,posters/movie46.png,en,2017-06-04,0.605,616755
"""Frontier Innocence""",Western Drama,posters/movie47.png,en,2016-12-10,0.631,466247
"""Satanica""",Horror,posters/movie48.png,en,2017-09-24,0.605,468437
"""Sil and the Devil Seeds of Arodor""",Science Fiction,posters/movie49.png,en,2019-11-08,4.518,619988
"""The Accidental President""",Documentary,posters/movie50.png,en,2020-10-27,2.801,761489
"""Treasure n tha Hood""",Comedy Drama,posters/movie51.png,en,2005-06-28,1.212,607400
