Title,Genres,Poster_Path,Language,Release_Date,Popularity,ID,faces
"""40 Days and Nights""",Action Science Fiction Adventure Thriller,posters/movie0.png,en,2012-12-15,7.377999999999999,145738,1
"""Frustration""",Animation,posters/movie1.png,en,2015-03-16,0.6,542615,0
"""Tolkien""",Drama History War Romance,posters/movie2.png,en,2019-05-03,23.83,468224,4
"""Save Sandra""",Drama,posters/movie3.png,en,2020-10-28,1.172,682270,1
"""Nazi Titanic""",TV Movie Documentary,posters/movie4.png,en,2012-04-14,4.412,463397,0
"""Marry Me For Christmas""",Romance Comedy TV Movie,posters/movie5.png,en,2013-12-14,3.089,249156,4
"""Lots of Ice and a Little Bit of Water""",Comedy,posters/movie6.png,en,2006-06-10,1.645,88053,1
"""New York Shadows""",Horror,posters/movie7.png,en,2013-06-14,0.748,197858,0
"""Our Life in Make Believe""",Drama Comedy Romance,posters/movie8.png,en,2014-08-29,0.8590000000000001,445046,0
"""¡Folk! Una mirada a la música tradicional de Castilla y León""",Documentary,posters/movie9.png,en,2018-03-01,0.6,661013,0
"""The Informant!""",Drama Comedy Crime,posters/movie10.png,en,2009-09-18,10.445,11323,1
"""Recount""",Drama History TV Movie,posters/movie11.png,en,2008-05-25,7.505,14050,2
"""Back Fork""",Drama,posters/movie12.png,en,2019-04-09,5.79,593843,0
"""Greg Giraldo: Midlife Vices""",Comedy,posters/movie13.png,en,2009-08-16,3.293,37354,1
"""Disturbing the Peace: A Small Town Standoff""",Documentary Drama,posters/movie14.png,en,2020-02-18,1.065,685230,0
"""A Christmas Prince: The Royal Wedding""",Romance Comedy,posters/movie15.png,en,2018-11-30,21.031,525041,0
"""The Man Who Would Never Be, What They Made Him To Be""",Comedy Drama,posters/movie16.png,en,2016-09-09,1.131,603667,0
"""Family Bonds""",Drama,posters/movie17.png,en,2003-10-03,0.6,479978,0
"""Public Enemies: The Golden Age of the Gangster Film""",Action Documentary,posters/movie18.png,en,2008-01-01,4.89,132548,1
"""Perfume 4th Tour in DOME LEVEL3""",Music,posters/movie19.png,en,2014-04-09,0.626,341830,2
